CLASS,ENGLISH_P,HINDI_P,MATHEMATICS_P,SCIENCE_P,SOCIAL_SCIENCE_P,PERCENTAGE
5,9.6,9.4,8.8,8.8,9.8,91.7
5,5.2,6.4,7.2,4.4,5.0,58.6
5,8.2,76 ,6.8,5.6,7.0,69.6
5,6.6,6.2,78 ,74 ,8.0,71.0
5,9.4,7.8,6.2,8.4,8.4,76.8
5,10.,9.4,8.4,9.8,9.8,94.1
5,6.6,4.8,5.0,46 ,4.6,38.9
5,5.6,46 ,6.0,5.8,7.2,46.6
5,8.6,9.2,8.0,9.0,9.4,77.8
5,8.0,8.8,6.2,6.4,8.6,74.3
5,6.4,6.4,4.6,6.0,4.6,48.6
5,7.8,7.0,6.4,48 ,8.4,47.7
5,78 ,6.0,7A ,7.2,9.0,65.3
5,3.4,4.8,3.4,3.4,3.4,31.9
5,7.8,6.0,6.2,6.0,76 ,60.1
5,6.8,6.4,6.4,5.4,78 ,62.8
5,8.0,8.4,7.4,8.0,8.8,80.5
5,7.2,7.8,4.8,5.4,8.2,57.9
5,9.4,8.0,7.0,8.0,9.8,83.4
5,5.0,4.2,7.2,5.4,4.8,44.1
5,9.2,8.0,74 ,9.0,9.2,79.4
5,5.0,5.4,4.6,5.4,6.6,46.4
5,6.0,3.4,5.2,7.0,7.0,63.3
5,9.0,8.2,7.2,9.0,9.2,86.5
5,7.6,8.0,5.8,5.4,5.8,59.3
5,8.6,8.6,8.8,9.0,8.6,78.9
5,9.2,9.0,76 ,8.2,9.2,82.4
5,9.4,9.4,8.6,9.6,9.0,86.2
5,5.4,3.8,5.8,4.6,5.8,44.3
5,8.8,8.8,76 ,9.6,78 ,68.7
5,10.,10.,9.6,9.6,9.6,95.6
5,9.4,9.8,8.0,9.8,9.8,92.1
5,6.4,5.2,4.4,5.6,4.0,41.8
5,7.2,8.2,76 ,7.2,9.2,70.1
5,8.4,7.2,8.8,8.8,8.8,76.0
5,7.2,7.6,78 ,76 ,8.4,76.3
5,8.4,8.6,5.6,8.0,8.6,63.8
5,6.8,7.8,6.4,6.6,76 ,61.2
5,5.0,5.6,46 ,48 ,5.8,37.5
5,9.0,5.4,7.2,6.4,6.8,67.6
5,8.8,9.4,7.0,76 ,8.6,80.1
5,8.2,6.4,6.2,7.2,6.6,56.9
5,6.0,6.0,5.0,4.6,4.8,48.7
5,7.2,9.2,ABS,ABS,ABS,79.5
5,8.8,6.8,7.2,8.2,8.4,79.7
5,9.0,8.2,8.0,6.8,8.6,74.1
5,7.2,6.4,6.8,5.4,6.4,48.2
5,10.,9.6,8.4,9.8,9.2,88.4
5,9.0,9.2,7.2,7.8,8.8,80.0
5,6.8,5.4,4.4,4.2,5.6,44.9
5,10.,10.,9.8,10.,9.8,97.3
5,8.6,8.0,5.8,5.0,8.6,68.1
5,7.8,5.8,7.2,6.8,8.2,61.7
5,6.0,4.2,5.8,4.8,4.6,45.1
5,4.2,78 ,5.0,5.0,4.4,50.1
5,78 ,7.2,7.0,6.0,5.6,74.7
5,8.6,7.2,6.4,7.0,78 ,58.2
5,9.0,7.8,48 ,8.0,8.4,72.2
5,4.2,6.2,6.4,4.6,6.4,59.4
5,8.8,7.6,5.6,76 ,8.8,71.9
5,9.4,9.6,9.2,9.2,9.6,91.2
5,6.8,4.8,5.0,48 ,5.4,58.4
5,8.4,7A ,5.4,5.8,7.0,55.6
5,9.2,8.0,78 ,9.8,9.8,86.3
5,7.0,5.2,5.4,4.0,6.4,52.6
5,NA ,NA ,NA ,NA ,NA ,50.9
5,NA ,NA ,NA ,NA ,NA ,14.2
5,NA ,NA ,NA ,NA ,NA ,0.0%
5,4.0,3.8,4.2,4.0,3.4,32.7
6,8.0,8.6,9.0,6.6,6.6,74.9
6,7.6,7.8,10.,78 ,6.2,76.5
6,3.6,4.2,3.8,1.2,2.4,40.5
6,5.6,7.2,5.4,4.2,4.0,50.3
6,9.2,8.8,10.,8.6,5.0,86.7
6,7.2,7.8,76 ,6.8,4.6,67.4
6,8.8,8.4,7.0,6.8,6.4,76.7
6,8.4,6.8,8.2,8.2,6.6,68.3
6,9.2,9.6,9.6,6.2,8.2,87.6
6,74 ,8.4,9.0,5.4,5.0,67.6
6,6.2,6.6,5.4,6.6,5.4,63.3
6,9.6,9.4,9.6,8.4,8.8,87.3
6,9.6,8.0,10.,6.8,6.4,80.8
6,8.4,8.2,76 ,8.6,6.8,71.6
6,6.8,ML ,3.8,ABS,3.6,45.8
6,9.2,9.6,9.2,8.2,8.2,90.3
6,76 ,6.8,78 ,7A ,4.0,65.4
6,8.0,7A ,8.6,5.4,74 ,71.9
6,6.8,8.6,5.8,9.4,5.0,72.8
6,9.6,9.8,8.6,9.4,9.8,94.2
6,8.6,8.4,7.0,7.2,5.8,71.7
6,74 ,6.2,6.4,5.6,5.4,58.8
6,8.4,7.0,7.0,6.2,7.2,75.8
6,10.,9.4,9.8,9.0,9.4,94.4
6,6.4,5.2,5.6,76 ,5.8,50.6
6,8.4,6.6,9.4,4.6,3.8,62.0
6,4.2,4.4,4.4,2.6,2.6,44.2
6,6.8,78 ,10.,6.0,7.0,76.5
6,7A ,8.0,7.0,5.2,5.2,80.0
6,8.2,7.8,78 ,46 ,ML ,63.6
6,8.8,8.6,8.0,9.4,6.6,87.9
6,76 ,6.6,8.8,4.6,5.8,62.9
6,7.2,6.8,4.0,5.6,7.0,63.4
6,6.6,7.2,8.4,7A ,5.6,73.9
6,6.4,5.2,8.4,6.2,5.4,60.5
6,4.2,5.2,6.0,2.8,3.6,35.2
6,3.4,3.4,4.6,2.2,1.2,26.3
6,8.8,8.0,9.2,9.2,6.4,76.6
6,9.0,7.0,8.6,6.8,4.4,69.0
6,9.4,8.8,6.8,5.8,6.2,86.6
6,9.2,8.8,8.4,6.6,9.0,88.9
6,7.2,6.4,8.8,6.6,5.6,59.2
6,7.2,6.0,6.2,6.4,6.4,54.6
6,4.6,5.0,4.4,2.8,2.0,44.0
6,9.2,6.6,8.0,7.0,6.2,72.0
6,3.6,4.4,3.4,3.0,3.4,29.9
6,8.2,8.4,9.4,8.2,8.4,83.3
6,4.4,6.6,5.8,3.4,3.6,49.9
6,5.6,6.2,8.8,44 ,4.4,59.5
6,10.,8.4,8.8,8.4,7.2,82.8
6,6.2,6.0,78 ,6.6,4.6,68.7
6,3.8,3.8,5.8,0.8,2.4,34.1
6,6.2,8.4,8.0,3.4,6.0,65.2
6,4.6,44 ,6.6,1.8,2.6,42.8
6,9.4,9.2,9.4,8.2,8.6,87.6
6,9.6,9.0,10.,9.8,9.4,97.3
6,6.0,4.2,3.4,4.2,4.6,46.5
6,8.8,9.6,8.4,74 ,8.6,88.0
6,10.,10.,76 ,8.0,76 ,90.9
6,9.6,9.0,8.6,76 ,9.2,88.7
6,4.6,5.2,3.6,2.6,4.4,44.4
6,5.0,40 ,5.0,40 ,45 ,60.1
6,5.2,5.8,4.4,2.2,2.2,47.4
6,9.4,9.4,9.8,8.2,9.2,84.1
6,6.4,6.4,6.6,4.2,6.0,61.9
6,9.4,8.4,9.8,8.0,7.6,78.7
6,9.8,8.8,8.0,9.8,9.4,90.8
6,9.0,8.2,9.6,7A ,6.8,71.6
6,9.4,8.8,9.0,8.0,6.6,84.5
6,8.8,7.2,9.6,74 ,6.2,69.9
6,ML ,7A ,8.0,8.6,ML ,80.3
6,8.0,9.2,8.6,3.4,5.6,75.2
6,3.0,4.0,4.0,2.0,3.5,51.6
6,8.0,7.2,6.6,6.6,6.0,59.5
6,9.2,9.6,76 ,76 ,8.6,84.1
6,10.,76 ,8.6,9.0,78 ,84.5
6,10.,8.8,9.8,9.0,8.6,91.3
6,76 ,7.6,5.8,76 ,7.2,63.2
6,9.6,9.0,8.0,9.6,9.2,83.4
6,4.4,5.6,4.4,6.4,4.6,44.8
6,8.0,9.6,7A ,6.0,5.8,76.8
6,3.8,6.0,3.4,1.2,2.8,31.9
6,5.4,7.2,6.4,3.4,4.4,58.2
6,56.,4.0,4.0,3.0,30.,52.0
6,7.2,6.8,8.8,4.8,6.4,53.7
6,7.8,7.0,6.0,6.0,4.6,62.4
6,4.8,3.4,74 ,3.4,2.8,37.8
6,7.0,7.8,6.0,4.0,5.2,61.4
6,4.8,6.0,4.8,4.0,3.4,47.0
6,5.0,6.0,5.8,5.8,2.6,54.1
6,44 ,48 ,9.2,2.6,3.6,40.1
6,78 ,8.2,9.6,8.6,8.0,82.5
6,3.0,4.0,4.8,3.4,1.6,41.4
6,5.6,48 ,4.2,6.4,3.6,56.3
6,8.2,8.0,8.6,74 ,6.4,69.5
6,2.6,4.4,4.0,2.8,1.6,34.5
6,8.0,7.2,7.2,6.4,6.4,72.1
6,4.6,6.6,5.0,2.4,3.4,41.1
6,8.8,8.4,8.2,7A ,8.0,71.9
6,7.0,8.4,5.4,5.0,6.4,54.4
6,9.2,9.2,8.0,7.8,7A ,85.0
6,6.8,6.2,8.8,5.8,4.2,51.6
6,9.0,8.2,10.,8.4,78 ,76.8
6,9.0,ML ,ML ,ML ,6.4,84.5
6,6.2,44 ,6.6,4.4,3.4,49.0
6,7.0,3.8,78 ,44 ,4.6,44.6
6,9.2,8.6,9.2,8.0,8.8,84.4
6,2.2,3.6,5.0,1.4,1.8,25.4
6,5.2,5.0,4.8,5.2,4.8,56.0
6,4.2,6.2,76 ,3.0,4.2,40.8
6,78 ,9.0,7.2,7.2,7.0,79.7
6,9.0,7.8,5.0,6.0,6.4,60.1
6,9.6,8.8,9.0,9.8,6.8,84.5
6,7.6,7.8,8.4,5.4,6.0,63.8
6,8.4,6.6,76 ,6.2,5.4,62.6
6,6.0,5.8,8.0,5.0,5.0,65.8
7,7.2,48 ,7.2,6.0,3.6,54.2
7,8.6,7.2,5.6,6.0,6.0,70.9
7,5.4,2.2,3.0,2.2,3.4,34.6
7,8.2,5.6,76 ,6.2,6.0,75.4
7,0.8,2.2,4.0,3.0,2.8,27.1
7,9.6,8.8,74 ,10.,78 ,92.8
7,8.6,48 ,10.,78 ,5.4,70.6
7,9.6,9.2,9.8,9.6,9.6,93.4
7,9.8,9.0,9.2,10.,8.4,90.8
7,5.2,3.2,2.2,4.4,5.4,46.1
7,9.0,7.0,78 ,9.0,6.8,85.9
7,9.4,8.0,8.2,9.6,78 ,90.2
7,ABS,ABS,ABS,ABS,ABS,39.0
7,7.6,3.2,5.8,8.0,44 ,66.5
7,9.4,7.2,9.6,9.4,8.6,73.9
7,6.0,4.0,5.4,5.4,3.2,52.6
7,8.0,6.0,6.2,6.2,8.0,68.3
7,76 ,8.0,8.0,9.6,76 ,83.5
7,5.4,4.0,5.0,7.2,3.8,53.8
7,ABS,3.2,ABS,6.2,3.4,48.1
7,5.4,3.0,4.4,5.6,3.6,46.5
7,7.0,5.4,6.6,6.8,5.2,65.4
7,8.8,6.0,6.4,8.8,76 ,78.0
7,2.4,4.8,6.4,4.8,2.0,34.1
7,8.8,6.8,8.2,6.8,6.2,67.8
7,2.4,2.8,1.0,2.4,1.4,27.7
7,9.0,8.0,9.6,8.2,78 ,93.1
7,6.0,4.0,8.2,7.0,2.8,54.6
7,5.2,3.8,5.2,7.4,2.2,47.2
7,9.0,7.8,9.0,7.6,5.4,77.5
7,5.8,5.6,6.4,78 ,2.8,41.0
7,8.4,8.6,9.4,9.4,8.6,92.8
7,9.4,8.0,9.4,10.,9.4,94.1
7,9.8,9.0,9.2,10.,9.2,94.8
7,9.2,9.4,8.4,9.6,9.0,90.1
7,9.0,8.4,9.8,9.0,8.8,89.7
7,9.4,78 ,9.6,9.2,6.6,91.7
7,8.2,5.6,78 ,5.4,6.8,72.3
7,9.0,6.6,6.6,78 ,5.4,72.3
7,9.8,9.2,8.6,9.8,8.6,85.4
7,6.2,4.6,3.6,8.4,3.6,45.0
7,9.4,8.6,9.6,9.4,9.0,78.5
7,10.,9.0,9.8,9.8,9.8,94.6
7,2.8,3.2,5.8,6.2,2.6,41.5
7,9.6,7.8,76 ,9.6,8.8,80.8
7,9.8,8.0,9.6,9.4,9.2,85.7
7,ABS,ABS,ABS,ABS,ABS,59.2
7,9.8,78 ,10.,74 ,5.8,67.3
7,78 ,44 ,7.0,5.0,5.0,40.1
7,9.0,8.2,8.8,9.6,8.2,85.7
7,76 ,5.0,7.0,9.4,6.0,63.7
7,6.4,3.4,8.2,3.4,5.0,56.4
7,8.2,5.6,7.2,6.4,5.2,66.4
7,8.0,6.0,6.6,8.8,5.8,73.1
7,7.2,44 ,4.8,76 ,3.6,47.6
7,9.2,7.8,9.0,9.2,8.8,76.9
7,9.8,7.0,9.6,9.0,8.2,83.6
7,3.6,2.2,2.0,4.6,1.6,30.9
7,6.0,3.4,5.4,6.6,3.4,53.6
7,NA ,NA ,NA ,NA ,ABS,33.3
7,3.8,3.8,2.6,4.0,3.4,48.0
7,9.8,9.4,10.,10.,8.8,93.5
7,6.6,6.0,4.6,7.2,6.6,62.6
7,6.4,5.0,3.6,4.2,3.4,47.5
7,9.4,7.2,7.2,9.8,8.6,71.8
7,0.4,0.6,0.4,0.6,1.0,14.3
7,8.2,5.2,8.2,76 ,5.4,77.6
7,1.8,1.0,5.8,5.0,0.8,25.0
7,5.2,3.8,6.8,5.6,2.4,44.3
7,9.4,9.0,9.6,9.4,8.2,90.4
7,7.2,4.2,5.4,4.6,5.6,55.9
7,7.8,5.4,8.2,7.6,5.0,68.4
7,3.2,1.2,3.8,6.4,3.4,34.5
7,3.6,3.6,4.4,5.4,2.2,44.1
7,8.8,7.6,8.2,9.0,6.4,78.5
7,10.,9.4,10.,10.,9.8,97.3
7,8.6,6.6,5.0,6.2,7.0,64.0
7,46 ,3.0,4.2,6.0,3.4,35.7
7,8.6,6.6,44 ,8.6,6.6,69.2
7,5.2,4.0,3.4,6.4,1.8,43.0
7,9.6,7.2,10.,9.4,8.0,81.2
7,78 ,5.8,8.0,8.8,5.4,73.1
7,4.2,2.8,76 ,8.2,4.2,37.1
7,9.6,8.6,9.6,10.,9.6,89.7
7,6.6,3.8,5.6,3.8,2.2,49.2
7,76 ,8.0,7A ,8.8,3.4,70.0
7,9.6,7.0,9.8,10.,8.8,88.0
7,9.8,9.2,8.2,9.0,6.4,92.3
7,8.0,6.6,8.4,8.8,6.0,60.6
7,8.0,9.0,8.2,9.6,6.6,88.6
7,8.8,76 ,76 ,9.2,6.4,81.5
7,6.8,4.6,7.2,9.4,3.4,49.5
7,8.2,5.2,5.4,8.4,2.8,60.8
7,8.0,5.2,6.2,5.2,6.0,54.8
7,7.0,6.4,6.6,8.0,5.8,69.6
7,3.4,6.0,7.0,6.4,1.6,38.9
7,8.0,6.6,74 ,9.2,3.4,67.0
7,8.8,78 ,9.2,10.,9.4,91.6
7,6.4,46 ,7.2,74 ,3.8,56.5
8,4.8,6.4,8.6,76 ,8.2,66.7
8,6.4,7.0,3.4,4.6,4.8,58.7
8,5.6,8.2,9.4,6.4,8.6,82.9
8,5.2,6.2,6.0,6.8,6.2,61.7
8,5.0,6.6,4.2,6.0,3.8,54.4
8,6.8,3.6,3.4,3.8,4.0,57.6
8,8.4,8.0,9.0,8.2,78 ,83.1
8,6.8,5.8,8.0,48 ,5.4,72.2
8,76 ,5.2,5.0,5.0,5.8,70.9
8,3.2,3.8,4.0,3.4,4.2,41.7
8,6.4,5.6,3.2,5.4,4.2,59.2
8,9.4,10.,9.4,9.8,9.8,96.5
8,6.8,7A ,4.8,44 ,6.0,59.4
8,9.2,9.6,9.8,9.6,9.8,95.5
8,8.2,5.8,5.4,7.4,8.2,81.0
8,6.0,8.4,6.6,6.8,5.4,72.4
8,6.8,7.2,6.4,5.6,5.8,73.6
8,6.4,6.6,5.8,7.0,76 ,63.1
8,3.4,4.2,3.6,4.2,4.8,43.8
8,2.4,3.0,2.8,1.8,1.8,8.0%
8,ABS,5.8,2.4,ABS,5.0,53.1
8,3.6,3.8,1.8,4.0,2.0,49.7
8,3.6,4.2,2.6,3.6,2.6,45.3
8,8.2,7.2,8.2,3.8,8.0,74.5
8,5.8,3.0,3.0,4.0,4.0,44.3
8,4.2,5.4,2.6,2.8,1.8,41.8
8,9.4,9.8,10.,10.,10.,97.8
8,8.4,9.0,8.8,10.,8.4,87.3
8,9.0,8.6,8.4,9.6,9.2,88.7
8,5.2,6.2,4.0,5.2,7.2,59.2
8,8.2,8.4,9.0,7.6,76 ,86.1
8,74 ,7A ,7.4,6.0,7.0,67.2
8,4.0,3.8,3.2,3.6,1.4,48.8
8,0.8,1.2,3.6,3.0,1.6,31.3
8,8.2,6.4,8.2,5.2,7.0,74.4
8,3.8,5.4,5.0,4.8,6.0,50.4
8,4.2,4.6,6.0,78 ,5.4,54.4
8,9.8,10.,9.4,10.,10.,95.2
8,76 ,9.4,9.4,9.8,9.8,92.0
8,6.6,5.4,6.8,3.6,5.8,54.5
8,9.4,9.0,8.6,6.6,9.8,90.8
8,8.6,9.6,9.8,8.8,9.2,89.8
8,5.0,5.0,2.6,4.6,2.2,47.2
8,3.6,3.8,3.4,3.0,3.4,34.8
8,1.6,2.6,1.4,1.4,0.4,27.4
8,9.0,9.4,9.4,8.8,9.4,86.9
8,7.0,7.2,9.2,7.0,74 ,82.6
8,ABS,ABS,ABS,ABS,ABS,49.7
8,ABS,ABS,ABS,ABS,ABS,42.5
8,76 ,4.4,9.4,9.0,6.4,80.7
8,3.8,4.2,5.6,3.4,4.6,55.1
8,5.8,6.2,78 ,7.0,6.8,77.2
8,5.0,5.4,3.8,4.0,4.4,48.4
8,76 ,7A ,5.6,5.4,6.4,69.8
8,5.6,5.4,48 ,6.2,44 ,63.7
8,8.2,9.6,9.2,9.2,8.2,92.3
8,76 ,9.2,8.6,8.6,9.8,91.2
8,74 ,8.2,7.0,7.2,6.0,76.3
8,6.0,6.2,6.4,4.2,7.2,70.6
8,3.0,4.8,4.6,2.2,6.0,45.9
8,3.4,3.4,6.0,44 ,3.4,48.7
8,48 ,4.4,2.0,3.8,2.8,58.8
8,8.8,9.8,8.4,10.,9.4,91.9
8,7.2,74 ,76 ,9.2,76 ,80.9
8,6.2,7.2,3.8,6.2,4.2,63.9
8,4.6,9.0,7.2,7.2,8.0,83.5
8,6.8,8.2,8.6,7.0,8.4,75.4
8,5.0,5.2,5.8,6.2,5.8,65.1
8,5.8,5.2,78 ,4.8,6.6,60.8
8,8.2,9.8,9.2,9.2,9.6,93.3
8,7.2,6.6,5.6,7.0,7.2,82.3
8,3.6,44 ,4.6,3.2,3.6,50.0
8,6.4,8.6,76 ,6.8,7.2,85.3
8,7A ,5.0,8.6,7.2,5.8,69.6
8,1.8,3.6,2.4,2.0,1.8,42.2
8,9.8,8.4,9.2,8.8,9.4,91.5
8,NA ,NA ,NA ,NA ,NA ,60.3
8,NA ,NA ,NA ,NA ,NA ,74.8
8,NA ,NA ,NA ,NA ,NA ,50.9
8,1.4,2.4,1.8,3.0,1.4,28.5
8,7.2,5.8,7.2,6.0,5.4,56.4
8,74 ,9.0,8.8,8.8,9.8,94.2
8,7.4,7.8,8.0,8.0,7.0,80.3
8,3.6,3.0,4.8,4.8,3.2,48.0
8,6.2,5.4,4.6,7.2,3.6,70.0
8,8.2,6.2,7.2,8.0,5.8,68.4
8,8.2,9.8,9.4,9.6,10.,97.0
8,8.8,9.8,9.8,9.6,9.8,95.3
8,7.2,6.6,8.2,8.0,7.6,82.1
8,8.0,8.8,78 ,8.4,8.8,84.1
8,4.6,5.0,8.0,78 ,5.6,65.7
8,8.8,7.0,6.8,9.6,7.4,87.8
8,8.8,9.8,9.2,10.,9.8,93.8
8,7.0,5.8,9.6,8.8,6.6,81.3
8,8.6,8.2,8.4,8.4,9.0,84.1
8,6.8,6.2,5.2,8.6,6.0,73.5
8,7.2,9.4,9.4,7.0,8.4,85.3
8,6.6,6.4,5.8,5.8,5.8,72.2
8,8.4,8.8,8.4,8.8,9.4,87.7
8,9.0,8.0,8.4,10.,8.6,95.6
8,6.2,9.0,6.6,6.6,6.6,76.3
8,6.4,7.2,6.4,74 ,76 ,68.7
8,9.0,9.8,9.8,10.,10.,97.1
8,78 ,6.8,9.2,8.4,7.2,79.6
8,9.2,9.2,9.0,8.0,8.2,76.6
8,9.8,8.2,9.4,8.6,10.,91.3
8,6.6,6.2,4.8,4.0,5.0,59.9
8,3.4,6.4,4.2,3.2,5.0,48.6
8,76 ,8.4,9.0,8.4,9.6,86.5
8,8.6,8.6,8.6,4.6,78 ,77.5
8,3.0,3.2,2.6,3.4,1.2,35.0
8,6.0,5.4,5.6,4.8,5.0,49.0
8,6.0,6.0,4.8,3.6,5.8,58.6
8,5.8,4.4,5.2,5.6,3.8,61.1
8,8.8,9.2,7.4,8.2,76 ,88.0
8,7.0,8.2,9.2,8.6,6.8,85.3
8,9.2,8.6,10.,8.0,74 ,90.6
8,9.2,9.6,78 ,9.0,9.6,92.7
8,8.6,9.8,9.6,8.8,9.6,92.9
8,74 ,8.0,8.8,8.8,8.8,84.8
8,5.6,76 ,7.0,6.8,78 ,73.9
8,6.8,5.4,5.6,5.2,7.0,66.4
8,9.0,9.6,9.4,8.4,9.6,92.7
8,4.0,3.6,2.2,3.6,2.0,48.2
8,5.4,8.4,6.6,5.4,76 ,73.8
8,8.2,9.6,9.8,9.6,9.6,89.8
8,6.8,5.0,8.0,5.6,7.2,62.5
8,7.0,5.6,5.8,7.0,78 ,66.2
8,2.4,0.8,0.8,1.2,0.8,27.8
8,78 ,8.0,74 ,7.0,8.2,84.2
8,9.0,7.0,6.4,7.4,6.2,84.1
8,8.4,9.6,9.0,9.6,9.6,93.3
8,4.6,2.4,4.4,4.4,44 ,49.7
8,4.2,8.4,76 ,5.2,4.8,64.9
8,9.2,8.6,74 ,8.6,9.0,87.0
8,76 ,7.6,4.2,7.0,6.4,62.5
8,76 ,9.4,9.4,9.8,9.8,92.0
8,8.4,6.8,4.2,6.6,6.2,60.6
8,9.0,8.4,8.8,8.2,9.8,89.0
8,ABS,ABS,ABS,ABS,ABS,69.2
9,8.2,7.0,7.6,6.1,6.9,67.8
9,7.0,7A ,3.6,5.6,5.9,51.7
9,9.5,9.9,9.8,9.8,9.8,96.2
9,8.5,8.2,9.4,7A ,8.9,72.1
9,6.9,5.8,4.4,3.4,45 ,44.6
9,8.9,8.4,9.8,6.4,8.9,84.5
9,NE ,NE ,NE ,NE ,NE ,0.0%
9,8.5,8.1,6.3,6.4,6.7,67.4
9,7.0,6.6,4.4,5.1,5.4,56.9
9,8.4,8.0,4.6,44 ,5.8,63.8
9,8.9,8.7,8.3,8.2,8.3,83.8
9,8.4,8.6,7.3,5.1,79 ,69.6
9,8.8,8.8,8.2,6.3,8.6,80.0
9,8.0,8.5,7.3,75 ,7.6,77.4
9,9.6,9.8,9.9,10.,9.8,97.2
9,74 ,5.6,74 ,5.1,5.2,55.9
9,9.2,9.9,9.8,9.3,10.,95.0
9,8.1,9.4,7.8,77 ,8.4,81.2
9,9.0,9.1,7.4,8.4,9.3,83.7
9,8.7,77 ,8.7,8.8,8.6,79.4
9,8.6,8.3,8.6,8.0,74 ,84.2
9,9.6,9.8,74 ,8.6,9.6,89.2
